Enhancer,Marker,Sample#,Thumbnail,\|E\|,\|D\|,\|M\|,\|TP\|,Specificity,Sensitivity,Composite Images
FOXP2_RORB ( FOXP2_RORB_E9),antiFOXP2,3,1mNieDt8jQZEaQeO3VFS7-opCn6eBGXLG,201,15539,5118,108,0.9911,0.0211,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/AK-nrTVR3pbKAsCeRWsRGQg/FOXP2_RORB/antiFOXP2_E4_E9?dl=0&e=1&preview=MAX_cjFlorian_FRC-WA5-S2_cjFOXP2-RORBE4-488_cjFOXP2-RORBE9-555_aFOXP2-647_10X_fixed.tif&rlkey=azzm86dlj60kc7ztq8xek9096
PCBP3,antiPCBP3,1,12njZJliXgulVYDsxrYzXsjEIK5duuPfV,199,1947,483,130,0.9529,0.2692,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/AGZgqYIj9DYeYa73_Li_Gy0/PCBP3/E5_antiPCBP3?dl=0&e=1&preview=cjFlorian_Nissl-405_E5-RFP_antiPCBP3-647_1.tif&rlkey=azzm86dlj60kc7ztq8xek9096
PCBP3,antiPCBP3,2,1wwzcazhFx94XMpRNyk2s5nnT3L3QruTs,214,1963,489,138,0.9484,0.2822,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/AGZgqYIj9DYeYa73_Li_Gy0/PCBP3/E5_antiPCBP3?dl=0&e=1&preview=cjFlorian_Nissl-405_E5-RFP_antiPCBP3-647_2.tif&rlkey=azzm86dlj60kc7ztq8xek9096
PCBP3,antiPCBP3,3,1w_PjGtG5vDyfzMGYxPOsKsI7smSnwTEC,155,3593,470,109,0.9853,0.2319,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/AGZgqYIj9DYeYa73_Li_Gy0/PCBP3/E5_antiPCBP3?dl=0&e=1&preview=cjFlorian_Nissl-405_E5-RFP_antiPCBP3-647_3.tif&rlkey=azzm86dlj60kc7ztq8xek9096
PCBP3,antiPCBP3,4,1FYknF47HerJDq4z-zhs5uZ2ZXjBG8lVv,72,1848,389,62,0.9931,0.1594,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/AGZgqYIj9DYeYa73_Li_Gy0/PCBP3/E5_antiPCBP3?dl=0&e=1&preview=cjFlorian_Nissl-405_E5-RFP_antiPCBP3-647_4.tif&rlkey=azzm86dlj60kc7ztq8xek9096
PCBP3,GAD,1,1MyTGUacGNuFMbFf6sc9WUoroOWOvlJbL,70,421,158,52,0.9316,0.3291,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/AK_hcIaDXzBxLnlgmOsA2Jg/PCBP3/E5_ISH-GAD?dl=0&e=1&preview=cjFlorian_DAPI-405_E5-RFP_GAD1-ISH-647_1.tif&rlkey=azzm86dlj60kc7ztq8xek9096
PCBP3,GAD,2,1t_VvpK7vDbUVKhEFUW3hFjkAcINBlR3M,22,352,185,17,0.9701,0.0919,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/AK_hcIaDXzBxLnlgmOsA2Jg/PCBP3/E5_ISH-GAD?dl=0&e=1&preview=cjFlorian_DAPI-405_E5-RFP_GAD1-ISH-647_2.tif&rlkey=azzm86dlj60kc7ztq8xek9096
PCBP3,GAD,3,1j6UeO03NmV8RB9qd7GPXTPM-Qz0DPO2y,14,256,206,12,0.96,0.0583,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/AK_hcIaDXzBxLnlgmOsA2Jg/PCBP3/E5_ISH-GAD?dl=0&e=1&preview=cjFlorian_DAPI-405_E5-RFP_GAD1-ISH-647_3.tif&rlkey=azzm86dlj60kc7ztq8xek9096
PCBP3,GAD,4,1yPI2rAbJZIdej-jF3nA00XTr6knrKMJ7,33,376,241,29,0.9704,0.1203,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/AK_hcIaDXzBxLnlgmOsA2Jg/PCBP3/E5_ISH-GAD?dl=0&e=1&preview=cjFlorian_DAPI-405_E5-RFP_GAD1-ISH-647_4.tif&rlkey=azzm86dlj60kc7ztq8xek9096
PCBP3,GAD,5,1bvKf7S2DGcjdKRMWIS7S1TE3KDbsd0HH,42,369,35,20,0.9341,0.5714,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/AK_hcIaDXzBxLnlgmOsA2Jg/PCBP3/E5_ISH-GAD?dl=0&e=1&preview=cjFlorian_DAPI-405_E5-RFP_GAD1-ISH-647_5.tif&rlkey=azzm86dlj60kc7ztq8xek9096
PCBP3,GAD,6,1oh1zPJG7TlxNTXSmXP6zytfmpp72wOTA,164,643,293,98,0.8114,0.3345,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/AK_hcIaDXzBxLnlgmOsA2Jg/PCBP3/E5_ISH-GAD?dl=0&e=1&preview=cjFlorian_DAPI-405_E5-RFP_GAD1-ISH-647_6.tif&rlkey=azzm86dlj60kc7ztq8xek9096
SST_E2,SST,1,1k6h9HUUb5Gc7-hPrnO1iU8cGNUWfliBW,43,2062,19,13,0.9853,0.6842,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/ANrA_jMW1h_47TZjIMckHGg/SST/ISH_SST_E2?dl=0&e=1&preview=MAX_cjWilly_LCtx_Plate1B2_SST647_aGFP488_20xZStack_A01_G001_0018.tif&rlkey=azzm86dlj60kc7ztq8xek9096
SST_E2,SST,2,1Gwg2pjR35DDmtnpKOkzg615B7XT5zwq3,11,1734,13,6,0.9971,0.4615,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/ANrA_jMW1h_47TZjIMckHGg/SST/ISH_SST_E2?dl=0&e=1&preview=MAX_cjWilly_LCtx_Plate1B2_SST647_aGFP488_20xZStack_A01_G001_0020.tif&rlkey=azzm86dlj60kc7ztq8xek9096
SST_E2,SST,3,1Kx3QLXLy1QgmXoHC-X2WRR3p7XeCFnhQ,2,992,100,2,1,0.02,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/ANrA_jMW1h_47TZjIMckHGg/SST/ISH_SST_E2?dl=0&e=1&preview=MAX_cjWilly_LCtx_Plate1B2_SST647_aGFP488_20xZStack_A01_G001_0022.tif&rlkey=azzm86dlj60kc7ztq8xek9096
SST_E2,SST,4,1t6M_q7DAtrRfE8kjJX_ObL5x2mnyyjDG,49,1914,16,5,0.9752,0.125,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/ANrA_jMW1h_47TZjIMckHGg/SST/ISH_SST_E2?dl=0&e=1&preview=MAX_cjWilly_LCtx_Plate1B2_SST647_aGFP488_20xZStack_A01_G001_0023.tif&rlkey=azzm86dlj60kc7ztq8xek9096
SST_E2,SST,5,1gV5vbozbvmsGZD0EWgWxqZAnxScicoOu,14,1276,18,9,0.996,0.5,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/ANrA_jMW1h_47TZjIMckHGg/SST/ISH_SST_E2?dl=0&e=1&preview=MAX_cjWilly_LHemiCtx_Plate1A1S1_aGFP488_SST647_20xZStack_A01_G001_0019.tif&rlkey=azzm86dlj60kc7ztq8xek9096
SST_E2,SST,6,1LhG4UYZRUO_fMxLBVAp3j5CC-wjLnyGK,9,1256,17,7,0.9984,0.4118,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/ANrA_jMW1h_47TZjIMckHGg/SST/ISH_SST_E2?dl=0&e=1&preview=MAX_cjWilly_LHemiCtx_Plate1A1S1_aGFP488_SST647_20xZStack_A01_G001_0021.tif&rlkey=azzm86dlj60kc7ztq8xek9096
SST_E2,SST,7,1hIqFFFIFx7KiIRF0XJ87p7hz_uBG1-5w,16,1344,14,11,0.9962,0.7857,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/ANrA_jMW1h_47TZjIMckHGg/SST/ISH_SST_E2?dl=0&e=1&preview=MAX_cjWilly_LHemiCtx_Plate1A1S1_aGFP488_SST647_20xZStack_A01_G001_0022.tif&rlkey=azzm86dlj60kc7ztq8xek9096
SST_E2,SST,8,1Id16WjtwmzqoPpFGgny1FMQ9UXBGIjTf,19,1262,23,11,0.9935,0.4783,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/ANrA_jMW1h_47TZjIMckHGg/SST/ISH_SST_E2?dl=0&e=1&preview=MAX_cjWilly_LHemiCtx_Plate1A1S1_aGFP488_SST647_20xZStack_A01_G001_0023.tif&rlkey=azzm86dlj60kc7ztq8xek9096
SST_E2,Calbindin,1,1TyV5HG3ZMFn_iKsSVOonZJr3XC5Y9FU3,58,1172,185,11,0.9524,0.0595,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/ANzy1pzzkBeW9CJBl1fLQlE/SST/SST_E2_secondary_marker_Calbindin?dl=0&e=1&preview=MAX_cjWilly_LCtx_Plate2C2_Nissl-+SST_E2-aCalbindin647_10xStack_A01_G001_0001.tif&rlkey=azzm86dlj60kc7ztq8xek9096
SST_E2,Calbindin,2,1S2rBsZe3h31i01RcC-b3Xv4bA-7JK435,104,453,94,40,0.8217,0.4255,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/ANzy1pzzkBeW9CJBl1fLQlE/SST/SST_E2_secondary_marker_Calbindin?dl=0&e=1&preview=MAX_cjWilly_LCtx_Plate2C2_Nissl-SST_E2-aCalbindin647_20xStackSingle_0002.tif&rlkey=azzm86dlj60kc7ztq8xek9096
SST_E2,Calbindin,3,1JwNAxyKzfRFBbMfaSBBg2OExExQ_xsmR,126,462,101,40,0.7618,0.396,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/ANzy1pzzkBeW9CJBl1fLQlE/SST/SST_E2_secondary_marker_Calbindin?dl=0&e=1&preview=MAX_cjWilly_LCtx_Plate2C2_Nissl-SST_E2-aCalbindin647_20xStackSingle_0003.tif&rlkey=azzm86dlj60kc7ztq8xek9096
Tandem,TAC3,1,1d2-g21riEMhRlA9v_4jjIwwYUibiNv4C,5,48,5,5,1,1,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/AICWfebVEQaLYcInSyMGQFU/TAC3?dl=0&e=1&preview=-aug1622_TAC3_GFP_647_40x_stack-maxintensity-DAPI-TAC3_tandemEnhancer-TAC3_FISH.tif&rlkey=azzm86dlj60kc7ztq8xek9096
